source_sentence,target_sentence
"It is a one-and-a-half-hour audio montage of Chaṇḍipāaṭh (chanting from Chaṇḍi) recitation from the scriptural verses of Śrī Śrī Chaṇḍi or Durga Saptashati,[2] Bengali devotional songs, classical music and a dash of acoustic melodrama. The program has been translated into Hindi set to similar orchestration and is broadcast at the same time for a pan-Indian audience.[3] This programme is aired every year at day-break on Mahalaya. The programme, which started off as a live-performance, has been broadcast in its pre-recorded format since 1966.[4][5] However, its great popularity remains undiminished even today over 90 years later.[6][7][8][9] ","महिषासुरमर्दिनी एको व्यापको लोकप्रियः प्रारम्भिकवङ्गविशेषप्रभाताकाशवाणीकार्यक्रमो ऽस्ति यः १९३१ तमे वर्षात् भारतीयराज्यस्य पश्चिमवङ्गस्य अखिलभारतीयरेडियो (AIR) इत्यत्र प्रसारितो ऽस्ति। या श्रीश्रीचण्डी उत दुर्गासप्तशत्याश्शास्त्रीयश्लोकात्, वङ्गभक्तिगीतानां शास्त्रीयसङ्गीतानां ध्वनिमयधुननाटकानाञ्च एकस्सार्धहोराया ध्वनिमोन्टाज् अस्ति। कार्यक्रमस्समानार्केस्ट्रेशनं प्रति हिन्दी सेट् मध्ये अनुवादितोऽस्ति तथा च सर्वभारतीयदर्शकानां कृते एकस्मिन् एव समये प्रसारितो भवति। अयं कार्यक्रमः प्रतिवर्षे महाालये दिनाङ्के प्रसारितो भवति। लाइव-प्रदर्शनरूपेण आरब्धोऽयं कार्यक्रमः १९६६ तमे वर्षात्पूर्वाभिलेखितस्वरूपेण प्रसारितोऽस्ति तथापि ९० वर्षेभ्योऽनन्तरं अद्यत्वेऽपि तस्य महती लोकप्रियता अनिवृत्ता अस्ति। "
"The Gambhir River, which is also known as the Utangan River, is an ephemeral (seasonal) river in India which originates in Rajasthan state and confluences with Yamuna in Uttar Pradesh state.[1] Important tributaries of the Gambhir are Banganga, Sesa, Kher and Parbati.[clarification needed] ","गम्भरा नदी अथवा उत्तङन् नदी एका प्रातिकालिकनदी भवति। सा राजस्थाने आरभ्य उत्तरप्रदेशे यमुनायाम् मिलति। बनगङ्गा, सेषा, खेर्, पार्बति आदयः अस्य पोषकनद्यः भवन्ति। "
meghadutam ,मेघदूत 
Kalidasa in his poem Meghadootam beautifully describes the river Gambhira. ,कालिदासः मेघदूते अस्याः नद्या प्रस्तावम् करोति। in his poem Meghadootam beautifully describes the river Gambhira. 
"There the poet said to Megha, ""She is eager to receive you, so do not look away from her.[5] "" ""Don't pick up the rest of her watery clothes, which by default are skinny and like handcuffs that are like riverbanks."" ","There the poet said to Megha, ""She is eager to receive you, so do not look away from her.[1] "" ""Don't pick up the rest of her watery clothes, which by default are skinny and like handcuffs that are like riverbanks."" "
It can be read as a temporary river status.[6] ,It can be read as a temporary river status.[2] 
See also ,अयमपि पश्यतु 
References ,परामर्शाः 
External links ,बाह्यबन्धाः 
"It originates near Karoli in Rajasthan and flows around Hindaun City, then through Bharatpur district, and through Dholpur district where it forms the boundary between Uttar Pradesh and Rajasthan states. It then enters Mainpuri district of Uttar Pradesh to finally confluences with Yamuna. ",अस्याः आरन्भः राजस्थाने करौली इति स्थाने भवति। सा हिन्दौन् नगरम् परिक्रम्य भरतपुरेन गच्छति । धौलपुरमन्डले सा राजस्थानम् तरति। पुनः मैनपुरिमण्डले उत्तरप्रदेशम् प्रविशति। तत्र सा अन्ते यमुनाम् सङमति 
It supplies water to the Keoladeo National Park near Bharatpur in Rajasthan. ,भरतपुरे सा केवलदेव राष्ट्रीयोद्यानस्य प्रधान जलस्रॉतः भवति। 
Basin ,नदीतटः 
"Banganga's tributary Sanwan after confluencing with Tildah river then confluences with Banganga River, Banganga then confluences with the Gambhir river (also known as the Utang river), Gambhir then confluences with the Yamuna in Mainpuri district of Uttar Pradesh, Yamuna confluences with Ganges at Triveni Sangam in Allahabad.[2][3][4] ",वनगङ्गायाः पॉषकनदी सन्वान् तिल्दा नदिम् सम्गम्य पुनः वनगम्गायाम् मिलति। सा वनगङ्गा पुनः गम्भीरा नदिम् पोषयति। अतः गम्भीराख्या इयम् नदी चतुर्णाम् नदीनाम् जलम् वहति। मैनपुर्याम् गम्भीरा यमुनापुष्टिम् करोति.[1][2][3] 
Prof Himanshu Pandya ,प्रोफ. हिमांशु पण्ड्या 
Experience ,अनुभवः 
"2020 - Present Vice Chancellor and Professor Department of Botany, Bioinformatics and Climate Change Impacts Management ","2020 - सद्यः कुलपतिः, वनस्पतिविज्ञानस्य, जैवसूचनाविज्ञानस्य, जलवायोः परिवर्तनस्य, प्रभावस्य च प्रबन्धनस्य विभागस्य प्रोफेसर च वर्तते। "
"Gujarat University 2017 - 2020 Vice Chancellor and Professor Department of Botany, Bioinformatics and Climate Change Impacts Management ","गुजरातविश्वविद्यालयः 2017 - 2020 कुलपतिः, वनस्पतिविज्ञानस्य, जैवसूचनाविज्ञानस्य, जलवायोः परिवर्तनस्य, प्रभावस्य च प्रबन्धनस्य विभागस्य प्रोफेसर च। "
"Gujarat University 2012 - 2017 Professor Department of Botany, Bioinformatics and Climate Change Impacts Management ","गुजरातविश्वविद्यालयः 2012 - 2017 वनस्पतिविज्ञानस्य, जैवसूचनाविज्ञानस्य, जलवायोः परिवर्तनस्य, प्रभावस्य च प्रबन्धनस्य विभागस्य प्रोफेसर। "
"Gujarat University 2005 - 2012 Professor Department of Botany, Bioinformatics and Climate Change Impacts Management Gujarat University ","गुजरातविश्वविद्यालयः 2005 - 2012 वनस्पतिविज्ञानस्य, जैवसूचनाविज्ञानस्य, जलवायोः परिवर्तनस्य, प्रभावस्य च प्रबन्धनस्य विभागस्य प्रोफेसर। "
Publications (158) ,प्रकाशनानि (158) 
"Participation, Presentation, Attendance and Publications at various national and International Scientific Meetings (Seminars, Symposium, Workshop, Conferences, Congress) ","विविधासु राष्ट्रियासु, अन्ताराष्ट्रियासु सहभागिता, उपस्थापनम्, उपस्थितिः, प्रकाशनानि च (सेमिनार, संगोष्ठी, कार्यशाला, सम्मेलनानि, सम्मेलनानि) "
Correspondence Publications/Books Presentations Abstracts International National Total 260+ ,कोरस्पोन्डन्स प्रकाशनानि/पुस्तकानि प्रदर्शनानि सारांशाः अन्ताराष्ट्रियाः प्राष्ट्रियाः योगः 260+ 
